USD/INR,73.385,0.062,0.08,73.255,73.400,73.370,73.400
EUR/INR,86.3005,-0.0375,-0.04,86.1980,86.4400,86.2680,86.3330
GBP/INR,101.532,0.126,0.12,101.340,101.561,101.493,101.571
JPY/INR,0.6632,0.0002,0.03,0.6630,0.6632,0.6626,0.6638
EUR/USD,1.1764,-0.0011,-0.09,1.1750,1.1787,1.1762,1.1766
GBP/USD,1.3836,0.0006,0.04,1.3814,1.3853,1.3833,1.3838
USD/JPY,110.71,0.10,0.09,110.38,110.75,110.69,110.72
USD/CHF,0.9423,0.0003,0.03,0.9405,0.9434,0.9421,0.9425
AUD/USD,0.7607,-0.0010,-0.14,0.7596,0.7637,0.7606,0.7607
USD/CAD,1.2577,0.0032,0.25,1.2526,1.2582,1.2576,1.2577
BTC/USD,"58,084.2",-1346.8,-2.27,"56,500.2","58,157.5","58,088.8","58,089.0"
US DOLLAR INDEX,93.040,0.093,0.10,92.870,93.100,93.020,93.060
INVESTING.COM EUR INDEX,107.02,-0.08,-0.07,106.89,107.20,0.00,0.00
NZD/USD,0.7031,0.0017,0.24,0.7010,0.7048,0.7029,0.7033
EUR/GBP,0.8500,-0.0010,-0.12,0.8499,0.8521,0.8497,0.8503
EUR/JPY,130.22,-0.01,-0.01,130.04,130.33,130.18,130.26
AUD/JPY,84.21,-0.04,-0.04,84.04,84.49,84.19,84.22
GBP/JPY,153.17,0.20,0.13,152.71,153.21,153.12,153.21
EUR/CHF,1.1085,-0.0007,-0.06,1.1073,1.1103,1.1081,1.1089
XAU/USD,"1,729.57",0.00,0.00,"1,729.57","1,729.57","1,729.11","1,730.04"
